state,floor,county,log_radon,log_uranium
AZ,1,APACHE,-1.2039728043259361,0.8172965745499448
AZ,9,APACHE,-0.5108256237659907,0.8172965745499448
AZ,1,APACHE,-0.6931471805599453,0.8172965745499448
AZ,1,APACHE,-0.5108256237659907,0.8172965745499448
AZ,1,APACHE,-1.2039728043259361,0.8172965745499448
AZ,1,APACHE,0.1823215567939546,0.8172965745499448
AZ,9,APACHE,1.6094379124341003,0.8172965745499448
AZ,1,APACHE,1.252762968495368,0.8172965745499448
AZ,9,APACHE,0.1823215567939546,0.8172965745499448
AZ,1,APACHE,-0.5108256237659907,0.8172965745499448
AZ,1,APACHE,0.26236426446749106,0.8172965745499448
AZ,1,APACHE,-0.916290731874155,0.8172965745499448
AZ,0,APACHE,1.589235205116581,0.8172965745499448
AZ,1,APACHE,-0.5108256237659907,0.8172965745499448
AZ,1,APACHE,-1.2039728043259361,0.8172965745499448
AZ,1,COCHISE,0.09531017980432493,0.8531677417330258
AZ,1,COCHISE,-0.35667494393873245,0.8531677417330258
AZ,9,COCHISE,0.0,0.8531677417330258
AZ,1,COCHISE,-0.5108256237659907,0.8531677417330258
AZ,1,COCHISE,0.7419373447293773,0.8531677417330258
AZ,0,COCHISE,-0.6931471805599453,0.8531677417330258
AZ,1,COCHISE,-0.916290731874155,0.8531677417330258
AZ,1,COCHISE,-0.5108256237659907,0.8531677417330258
AZ,1,COCHISE,-1.2039728043259361,0.8531677417330258
AZ,1,COCHISE,-0.916290731874155,0.8531677417330258
AZ,9,COCHISE,-0.6931471805599453,0.8531677417330258
AZ,9,COCHISE,0.6418538861723947,0.8531677417330258
AZ,1,COCHISE,1.1631508098056809,0.8531677417330258
AZ,1,COCHISE,-0.2231435513142097,0.8531677417330258
AZ,1,COCHISE,-0.6931471805599453,0.8531677417330258
AZ,9,COCHISE,-0.6931471805599453,0.8531677417330258
AZ,1,COCHISE,0.6418538861723947,0.8531677417330258
AZ,1,COCHISE,0.7884573603642703,0.8531677417330258
AZ,1,COCHISE,0.4054651081081644,0.8531677417330258
AZ,1,COCHISE,1.0647107369924282,0.8531677417330258
AZ,1,COCHISE,1.2809338454620642,0.8531677417330258
AZ,1,COCHISE,1.7578579175523736,0.8531677417330258
